input,output,type,IE
"This Halloween, we're having a marathon of all the monster movies from the prime of cinema.","this halloween, we're having a marathon of all the monster movies from the golden age of cinema.",idiom,golden age
"This Halloween, we're having a marathon of all the monster movies from the heyday of cinema.","this halloween, we're having a marathon of all the monster movies from the golden age of cinema.",idiom,golden age
"This Halloween, we're having a marathon of all the monster movies from the best days of cinema.","this halloween, we're having a marathon of all the monster movies from the golden age of cinema.",idiom,golden age
"Many people look back on the 1950s as some kind of prime, completely ignoring or denying many of the deep-rooted social injustices that typified that time in America.","many people look back on the 1950s as some kind of golden age, completely ignoring or denying many of the deep rooted social injustices that typified that time in america.",idiom,golden age
"Many people look back on the 1950s as some kind of heyday, completely ignoring or denying many of the deep-rooted social injustices that typified that time in America.","many people look back on the 1950s as some kind of golden age, completely ignoring or denying many of the deep rooted social injustices that typified that time in america.",idiom,golden age
"Many people look back on the 1950s as some kind of the best days, completely ignoring or denying many of the deep-rooted social injustices that typified that time in America.","many people look back on the 1950s as some kind of golden age, completely ignoring or denying many of the deep rooted social injustices that typified that time in america.",idiom,golden age
You grew up in the prime of American children's books.,you grew up in the golden age of american children's books.,idiom,golden age
You grew up in the heyday of American children's books.,you grew up in the golden age of american children's books.,idiom,golden age
You grew up in the best days of American children's books.,you grew up in the golden age of american children's books.,idiom,golden age
I am just very thrilled that so many of you were able to come to our baby shower!,i am just thrilled beyond words that so many of you were able to come to our baby shower!,idiom,beyond words
I am just thrilled indescribably that so many of you were able to come to our baby shower!,i am just thrilled beyond words that so many of you were able to come to our baby shower!,idiom,beyond words
I am just thrilled inexpressibly that so many of you were able to come to our baby shower!,i am just thrilled beyond words that so many of you were able to come to our baby shower!,idiom,beyond words
I am just thrilled unimaginably that so many of you were able to come to our baby shower!,i am just thrilled beyond words that so many of you were able to come to our baby shower!,idiom,beyond words
"After our parents offered to help us buy our first home, we were appreciative indescribably.","after our parents offered to help us buy our first home, we were appreciative beyond words.",idiom,beyond words
"After our parents offered to help us buy our first home, we were appreciative inexpressibly.","after our parents offered to help us buy our first home, we were appreciative beyond words.",idiom,beyond words
"After our parents offered to help us buy our first home, we were appreciative unimaginably.","after our parents offered to help us buy our first home, we were appreciative beyond words.",idiom,beyond words
"After our parents offered to help us buy our first home, we were very appreciative.","after our parents offered to help us buy our first home, we were appreciative beyond words.",idiom,beyond words
Sally was thankful indescribably.,sally was thankful beyond words.,idiom,beyond words
Sally was thankful inexpressibly.,sally was thankful beyond words.,idiom,beyond words
